Name,PD
-t7_60,"V[0,1,2],V[3,4,5],X[6,7,8,9],X[10,7,2,11],X[12,13,14,1],X[15,12,16,8],X[9,16,0,6],X[5,17,11,18],X[19,10,17,4],X[13,15,19,20],X[18,14,20,3]"
t0_1#+3_1,"V[0,1,2],V[3,2,1],X[4,5,6,7],X[8,4,7,3],X[5,8,0,6]"
t0_1#-3_1,"V[0,1,2],V[3,2,1],X[4,5,6,7],X[3,8,5,4],X[7,6,8,0]"
t0_1#4_1,"V[0,1,2],V[3,2,1],X[4,5,3,6],X[7,0,5,8],X[8,4,9,10],X[6,7,10,9]"
t0_1#+5_1,"V[0,1,2],V[3,2,1],X[0,4,5,6],X[4,7,8,5],X[7,9,10,8],X[9,11,12,10],X[11,3,6,12]"
t0_1#-5_1,"V[0,1,2],V[3,2,1],X[4,0,5,6],X[6,5,7,8],X[8,7,9,10],X[10,9,11,12],X[12,11,3,4]"
t0_1#+6_1,"V[0,1,2],V[2,1,3],X[4,5,6,7],X[8,9,10,11],X[9,8,7,6],X[12,13,11,10],X[13,3,14,4],X[5,14,0,12]"
t0_1#-6_1,"V[0,1,2],V[2,1,3],X[4,5,6,7],X[8,9,10,11],X[7,10,9,4],X[11,12,13,8],X[3,14,5,13],X[14,0,12,6]"
t0_1#+6_2,"V[0,1,2],V[3,2,1],X[4,5,6,7],X[5,8,9,6],X[8,10,11,9],X[3,4,7,12],X[13,10,0,14],X[11,15,16,12],X[14,16,15,13]"
t0_1#-6_2,"V[0,1,2],V[3,2,1],X[4,5,6,7],X[7,6,8,9],X[9,8,10,11],X[12,3,5,4],X[10,0,13,14],X[15,16,12,11],X[16,15,14,13]"
t0_1#6_3,"V[0,1,2],V[3,2,1],X[4,5,6,7],X[8,9,10,7],X[9,11,12,10],X[13,14,5,4],X[15,6,14,16],X[16,0,8,15],X[11,3,13,12]"
t0_1#(+3_1#+3_1),"V[0,1,2],V[3,1,4],X[5,6,3,7],X[8,0,9,10],X[11,5,7,12],X[6,11,12,2],X[4,13,14,9],X[13,8,10,14]"
t0_1#(-3_1#-3_1),"V[0,1,2],V[3,1,4],X[5,6,7,3],X[8,9,0,10],X[11,12,6,5],X[2,7,12,11],X[10,4,13,14],X[14,13,9,8]"
t0_1#(-3_1#+3_1),"V[0,1,2],V[1,3,2],X[4,5,6,7],X[7,8,9,10],X[10,9,5,4],X[11,8,12,13],X[6,3,14,12],X[0,11,13,14]"
t0_1#(+3_1#-3_1),"V[0,1,2],V[1,3,2],X[4,5,6,7],X[7,8,9,10],X[10,9,5,4],X[11,8,12,13],X[6,3,14,12],X[0,11,13,14]"
t0_1#+7_1,"V[0,1,2],V[3,0,2],X[1,4,5,6],X[4,7,8,5],X[7,9,10,8],X[9,11,12,10],X[11,13,14,12],X[13,15,16,14],X[15,3,6,16]"
t0_1#+7_2,"V[0,1,2],V[3,2,1],X[0,4,5,6],X[4,7,8,5],X[7,3,9,10],X[11,12,13,14],X[12,11,10,9],X[15,16,6,8],X[16,15,14,13]"
t0_1#+7_5,"V[0,1,2],V[3,2,1],X[4,5,6,7],X[5,8,9,6],X[8,10,11,9],X[10,4,12,13],X[14,13,0,15],X[3,12,7,16],X[17,14,15,18],X[11,17,18,16]"
t0_1#-7_7,"V[0,1,2],V[3,2,1],X[4,5,6,7],X[7,8,9,4],X[10,11,12,13],X[14,10,15,9],X[11,14,8,6],X[0,12,5,16],X[16,15,13,3]"
+t3_1#+3_1,"V[0,1,2],V[3,4,1],X[2,5,6,7],X[5,4,8,6],X[9,10,11,12],X[10,13,14,11],X[13,0,12,14],X[3,9,7,8]"
-t3_1#+3_1,"V[0,1,2],V[1,3,4],X[5,6,7,4],X[8,2,9,10],X[3,0,11,12],X[12,11,6,5],X[7,13,14,9],X[13,8,10,14]"
+t3_1#-3_1,"V[0,1,2],V[3,1,4],X[5,6,0,7],X[2,3,8,9],X[7,10,11,12],X[12,11,6,5],X[4,13,14,8],X[13,10,9,14]"
+t3_1#4_1,"V[0,1,2],V[3,1,4],X[5,6,7,3],X[6,8,2,7],X[9,5,4,0],X[8,10,11,12],X[13,11,10,14],X[14,9,15,16],X[12,13,16,15]"
t4_1.1#+3_1,"V[0,1,2],V[3,2,4],X[5,6,7,8],X[6,9,10,7],X[9,11,12,13],X[4,1,14,15],X[13,16,15,14],X[0,5,8,10],X[16,12,11,3]"
t4_1.2#+3_1,"V[0,1,2],V[3,4,1],X[2,5,6,7],X[8,9,7,6],X[9,10,11,12],X[10,13,14,11],X[13,15,12,14],X[15,16,3,0],X[5,4,16,8]"
+t3_1#3+t3_1,"V[0,1,2],V[3,4,1],X[5,6,7,8],X[6,4,9,7],X[10,0,11,12],X[3,10,8,9],X[2,13,14,11],X[13,5,12,14]"
-t3_1#3+t3_1,"V[0,1,2],V[3,4,5],X[6,7,4,8],X[9,10,11,12],X[11,5,7,1],X[12,0,13,14],X[8,3,10,9],X[2,15,16,13],X[15,6,14,16]"
+t3_1#3-t3_1,"V[0,1,2],V[3,4,5],X[6,7,4,8],X[9,10,11,12],X[11,5,7,1],X[12,0,13,14],X[8,3,10,9],X[2,15,16,13],X[15,6,14,16]"
-t3_1#3-t3_1,"V[0,1,2],V[3,4,1],X[5,6,7,8],X[8,7,4,9],X[10,11,0,12],X[9,3,11,5],X[12,2,13,14],X[14,13,6,10]"
t4_1.2#3+t3_1,"V[0,1,2],V[3,4,2],X[1,5,6,7],X[8,9,4,10],X[9,11,12,0],X[5,12,11,13],X[14,8,10,15],X[13,16,7,6],X[16,14,15,3]"
t4_1.1#3+t3_1,"V[0,1,2],V[3,4,5],X[6,7,8,3],X[7,9,10,8],X[9,11,4,10],X[11,1,12,5],X[12,13,14,15],X[2,6,16,17],X[15,18,17,16],X[18,14,13,0]"
h0_1,"V[0,0,1],V[1,2,2]"
h4_1.1,"V[0,1,2],V[3,0,4],X[1,3,5,6],X[4,2,7,8],X[9,10,6,5],X[10,9,8,7]"
h4_1.2,"V[0,1,2],V[3,0,4],X[5,1,3,6],X[7,4,2,8],X[6,9,10,5],X[8,10,9,7]"
h5_1.1,"V[0,1,2],V[0,3,4],X[5,1,4,6],X[7,5,8,9],X[6,3,10,8],X[11,12,9,10],X[12,11,2,7]"
h5_1.2,"V[0,1,2],V[0,3,4],X[1,4,5,6],X[7,8,6,9],X[3,10,9,5],X[10,11,12,7],X[8,12,11,2]"
h6_1,"V[0,1,2],V[3,4,5],X[2,6,7,8],X[9,4,10,7],X[5,11,12,1],X[11,9,6,12],X[13,14,3,0],X[8,10,14,13]"
