2 - 78 - 2 - X[3, 4, 5, 6], X[7, 8, 9, 3], X[10, 11, 12, 4], X[5, 13, 14, 15], X[6, 16, 17, 18], X[8, 7, 18, 19], X[9, 20, 11, 10], X[20, 14, 13, 12], X[15, 19, 17, 16] - -t**4 + t**3 + t - -A**16 + A**12 + A**4
2 - 79 - 1 - X[3, 4, 5, 6], X[7, 8, 9, 3], X[10, 11, 12, 4], X[5, 13, 14, 15], X[6, 16, 17, 18], X[8, 7, 18, 19], X[9, 20, 11, 10], X[12, 20, 14, 13], X[19, 17, 16, 15] - 1/t + t**(-3) - 1/t**4 - A**(-4) + A**(-12) - 1/A**16
2 - 80 - 4 - X[3, 4, 5, 6], X[7, 8, 9, 3], X[4, 10, 11, 12], X[13, 14, 15, 5], X[16, 17, 18, 6], X[8, 7, 18, 19], X[9, 20, 11, 10], X[12, 20, 14, 13], X[15, 19, 17, 16] - t**2 - t + 1 - 1/t + t**(-2) - A**8 - A**4 + 1 - 1/A**4 + A**(-8)
2 - 81 - 0 - X[3, 4, 5, 6], X[7, 8, 9, 3], X[4, 10, 11, 12], X[13, 14, 15, 5], X[6, 16, 17, 18], X[7, 18, 19, 8], X[9, 20, 11, 10], X[12, 20, 14, 13], X[15, 19, 17, 16] - 1 - 1
2 - 82 - 3 - X[3, 4, 5, 6], X[7, 8, 9, 3], X[4, 10, 11, 12], X[13, 14, 15, 5], X[6, 16, 17, 18], X[8, 7, 18, 19], X[20, 11, 10, 9], X[12, 20, 14, 13], X[15, 19, 17, 16] - 1/t - 1/t**2 + 2/t**3 - 1/t**4 + t**(-5) - 1/t**6 - A**(-4) - 1/A**8 + 2/A**12 - 1/A**16 + A**(-20) - 1/A**24
2 - 83 - 0 - X[3, 4, 5, 6], X[7, 8, 9, 3], X[4, 10, 11, 12], X[13, 14, 15, 5], X[6, 16, 17, 18], X[8, 7, 18, 19], X[9, 20, 11, 10], X[20, 14, 13, 12], X[15, 19, 17, 16] - 1 - 1
2 - 84 - 3 - X[3, 4, 5, 6], X[7, 8, 9, 3], X[4, 10, 11, 12], X[13, 14, 15, 5], X[6, 16, 17, 18], X[8, 7, 18, 19], X[9, 20, 11, 10], X[12, 20, 14, 13], X[19, 17, 16, 15] - 1/t - 1/t**2 + 2/t**3 - 1/t**4 + t**(-5) - 1/t**6 - A**(-4) - 1/A**8 + 2/A**12 - 1/A**16 + A**(-20) - 1/A**24
2 - 85 - 0 - X[3, 4, 5, 6], X[7, 8, 9, 3], X[4, 10, 11, 12], X[5, 13, 14, 15], X[16, 17, 18, 6], X[7, 18, 19, 8], X[9, 20, 11, 10], X[12, 20, 14, 13], X[15, 19, 17, 16] - 1 - 1
2 - 86 - X - X[3, 4, 5, 6], X[7, 8, 9, 3], X[4, 10, 11, 12], X[5, 13, 14, 15], X[16, 17, 18, 6], X[8, 7, 18, 19], X[20, 11, 10, 9], X[12, 20, 14, 13], X[15, 19, 17, 16] - t - 1 + 2/t - 2/t**2 + 2/t**3 - 2/t**4 + t**(-5) - A**4 - 1 + 2/A**4 - 2/A**8 + 2/A**12 - 2/A**16 + A**(-20)
2 - 87 - 4 - X[3, 4, 5, 6], X[7, 8, 9, 3], X[4, 10, 11, 12], X[5, 13, 14, 15], X[16, 17, 18, 6], X[8, 7, 18, 19], X[9, 20, 11, 10], X[20, 14, 13, 12], X[15, 19, 17, 16] - t**2 - t + 1 - 1/t + t**(-2) - A**8 - A**4 + 1 - 1/A**4 + A**(-8)
2 - 88 - 0 - X[3, 4, 5, 6], X[7, 8, 9, 3], X[4, 10, 11, 12], X[5, 13, 14, 15], X[16, 17, 18, 6], X[8, 7, 18, 19], X[9, 20, 11, 10], X[12, 20, 14, 13], X[19, 17, 16, 15] - 1 - 1
2 - 89 - 1 - X[3, 4, 5, 6], X[7, 8, 9, 3], X[4, 10, 11, 12], X[5, 13, 14, 15], X[6, 16, 17, 18], X[7, 18, 19, 8], X[20, 11, 10, 9], X[12, 20, 14, 13], X[15, 19, 17, 16] - 1/t + t**(-3) - 1/t**4 - A**(-4) + A**(-12) - 1/A**16
2 - 90 - 0 - X[3, 4, 5, 6], X[7, 8, 9, 3], X[4, 10, 11, 12], X[5, 13, 14, 15], X[6, 16, 17, 18], X[7, 18, 19, 8], X[9, 20, 11, 10], X[20, 14, 13, 12], X[15, 19, 17, 16] - 1 - 1
2 - 91 - 1 - X[3, 4, 5, 6], X[7, 8, 9, 3], X[4, 10, 11, 12], X[5, 13, 14, 15], X[6, 16, 17, 18], X[7, 18, 19, 8], X[9, 20, 11, 10], X[12, 20, 14, 13], X[19, 17, 16, 15] - 1/t + t**(-3) - 1/t**4 - A**(-4) + A**(-12) - 1/A**16
