name,native notation,symmetry
10_60,a=X(b3 c0 c3 d0) b=X(d3 e0 c1 a0) c=X(a1 b2 f3 a2) d=X(a3 g0 h3 b0) e=X(b1 h2 i3 j0) f=X(j3 g2 g1 c2) g=X(d1 f2 f1 h0) h=X(g3 i0 e1 d2) i=X(h1 j2 j1 e2) j=X(e3 i2 i1 f0) ['name'='10_60'],reversible
10_61,a=X(b3 c0 c3 b0) b=X(a3 d0 d3 a0) c=X(a1 e0 f3 a2) d=X(b1 g0 h3 b2) e=X(c1 i0 i3 f0) f=X(e3 j0 j3 c2) g=X(d1 j2 j1 h0) h=X(g3 i2 i1 d2) i=X(e1 h2 h1 e2) j=X(f1 g2 g1 f2) ['name'='10_61'],reversible
10_62,a=X(b3 b2 c3 c2) b=X(d3 d2 a1 a0) c=X(e3 f0 a3 a2) d=X(g3 h0 b1 b0) e=X(h3 i0 i3 c0) f=X(c1 i2 j3 j2) g=X(j1 j0 h1 d0) h=X(d1 g2 i1 e0) i=X(e1 h2 f1 e2) j=X(g1 g0 f3 f2) ['name'='10_62'],reversible
10_63,a=X(b3 b2 c3 c2) b=X(d3 d2 a1 a0) c=X(e3 f0 a3 a2) d=X(g3 h0 b1 b0) e=X(h3 i0 f1 c0) f=X(c1 e2 j3 g0) g=X(f3 j2 j1 d0) h=X(d1 i2 i1 e0) i=X(e1 h2 h1 j0) j=X(i3 g2 g1 f2) ['name'='10_63'],reversible
10_64,a=X(b3 b2 c3 c2) b=X(d3 e0 a1 a0) c=X(e3 f0 a3 a2) d=X(f3 g0 g3 b0) e=X(b1 h0 i3 c0) f=X(c1 j0 j3 d0) g=X(d1 h2 h1 d2) h=X(e1 g2 g1 i0) i=X(h3 j2 j1 e2) j=X(f1 i2 i1 f2) ['name'='10_64'],reversible
10_65,a=X(b3 c0 c3 b0) b=X(a3 d0 e3 a0) c=X(a1 e2 f3 a2) d=X(b1 g0 h3 h2) e=X(i3 j0 c1 b2) f=X(j3 g2 g1 c2) g=X(d1 f2 f1 j2) h=X(i1 i0 d3 d2) i=X(h1 h0 j1 e0) j=X(e1 i2 g3 f0) ['name'='10_65'],reversible
10_66,a=X(b3 c0 c3 b0) b=X(a3 d0 e3 a0) c=X(a1 e2 f3 a2) d=X(b1 f2 g3 h0) e=X(h3 i0 c1 b2) f=X(i3 j0 d1 c2) g=X(j3 h2 h1 d2) h=X(d3 g2 g1 e0) i=X(e1 j2 j1 f0) j=X(f1 i2 i1 g0) ['name'='10_66'],reversible
10_67,a=X(b3 b2 c3 c2) b=X(d3 e0 a1 a0) c=X(f3 g0 a3 a2) d=X(g3 h0 h3 b0) e=X(b1 i0 i3 j0) f=X(j3 j2 g1 c0) g=X(c1 f2 h1 d0) h=X(d1 g2 i1 d2) i=X(e1 h2 j1 e2) j=X(e3 i2 f1 f0) ['name'='10_67'],chiral
10_68,a=X(b3 c0 c3 b0) b=X(a3 d0 e3 a0) c=X(a1 f0 g3 a2) d=X(b1 g2 h3 i0) e=X(i3 j0 j3 b2) f=X(c1 j2 j1 g0) g=X(f3 h0 d1 c2) h=X(g1 i2 i1 d2) i=X(d3 h2 h1 e0) j=X(e1 f2 f1 e2) ['name'='10_68'],reversible
10_69,a=X(b3 b2 c3 d0) b=X(d3 e0 a1 a0) c=X(f3 g0 d1 a2) d=X(a3 c2 h3 b0) e=X(b1 h2 i3 f0) f=X(e3 i2 i1 c0) g=X(c1 j0 j3 h0) h=X(g3 j2 e1 d2) i=X(j1 f2 f1 e2) j=X(g1 i0 h1 g2) ['name'='10_69'],reversible
10_70,a=X(b3 b2 c3 c2) b=X(d3 e0 a1 a0) c=X(e3 f0 a3 a2) d=X(g3 h0 i3 b0) e=X(b1 i2 j3 c0) f=X(c1 j2 h3 g0) g=X(f3 h2 h1 d0) h=X(d1 g2 g1 f2) i=X(j1 j0 e1 d2) j=X(i1 i0 f1 e2) ['name'='10_70'],reversible
10_71,a=X(b3 c0 c3 d0) b=X(d3 d2 e3 a0) c=X(a1 f0 g3 a2) d=X(a3 g2 b1 b0) e=X(h3 h2 f1 b2) f=X(c1 e2 h1 i0) g=X(i3 j0 d1 c2) h=X(j3 f2 e1 e0) i=X(f3 j2 j1 g0) j=X(g1 i2 i1 h0) ['name'='10_71'],reversible
10_72,a=X(b3 c0 c3 b0) b=X(a3 d0 e3 a0) c=X(a1 e2 f3 a2) d=X(b1 f2 g3 h0) e=X(h3 i0 c1 b2) f=X(j3 g0 d1 c2) g=X(f1 j2 j1 d2) h=X(d3 i2 i1 e0) i=X(e1 h2 h1 j0) j=X(i3 g2 g1 f0) ['name'='10_72'],reversible
10_73,a=X(b3 b2 c3 d0) b=X(d3 e0 a1 a0) c=X(f3 g0 d1 a2) d=X(a3 c2 h3 b0) e=X(b1 h2 i3 f0) f=X(e3 g2 g1 c0) g=X(c1 f2 f1 j0) h=X(j3 i0 e1 d2) i=X(h1 j2 j1 e2) j=X(g3 i2 i1 h0) ['name'='10_73'],reversible
10_74,a=X(b3 b2 c3 c2) b=X(d3 e0 a1 a0) c=X(e3 f0 a3 a2) d=X(g3 g2 h3 b0) e=X(b1 h2 i3 c0) f=X(c1 j0 g1 g0) g=X(f3 f2 d1 d0) h=X(j3 i0 e1 d2) i=X(h1 j2 j1 e2) j=X(f1 i2 i1 h0) ['name'='10_74'],reversible
10_75,a=X(b3 c0 c3 d0) b=X(e3 f0 c1 a0) c=X(a1 b2 f3 a2) d=X(a3 g0 g3 e0) e=X(d3 g2 h3 b0) f=X(b1 h2 i3 c2) g=X(d1 j0 e1 d2) h=X(j3 i0 f1 e2) i=X(h1 j2 j1 f2) j=X(g1 i2 i1 h0) ['name'='10_75'],reversible
10_76,a=X(b3 c0 c3 b0) b=X(a3 d0 e3 a0) c=X(a1 e2 d1 a2) d=X(b1 c2 f3 g0) e=X(h3 i0 c1 b2) f=X(i3 g2 g1 d2) g=X(d3 f2 f1 h0) h=X(g3 j0 j3 e0) i=X(e1 j2 j1 f0) j=X(h1 i2 i1 h2) ['name'='10_76'],reversible
